fullVisitorId,transacciones
9219609257103359166,1
8624185886173345427,1
9001502916626110125,1
1288317908843556558,1
6312194749319574796,1
1447257816279888170,1
9602459823241782836,1
6987303552830349046,1
7745913892709272663,1
7166449056011989823,1
9521438372294298977,1
9374732127201012465,1
5232863160454746212,1
2155115683587711916,1
217143916288493658,1
4920953157538129017,1
1053771337658446740,1
5199370466032130686,1
856273082667959194,1
4540509568993725359,1
6373565169411439679,1
1459959210477445011,1
085319952392271706,1
0853682097133967435,1
9879056257140317872,1
2969418676126258798,1
2338178303528914061,1
1424355572088327868,1
1152695544079009829,1
963845761761571092,1
1182675562893088634,1
2141032560407740130,1
0548744394505098293,1
0652202420147185334,1
8277644417832306861,1
9654518257837426461,1
452384137560800015,1
4921798700570421930,1
6968323948324124881,1
3454415788904146693,1
8528973034561269758,1
165109760635455356,1
9598226286194728257,1
1164110348121511511,1
0082806901961150595,1
6204463650092781278,1
0088657980877164102,1
3302292601270378852,1
704373157724192220,1
8744897619448167360,1
8287454401511660857,1
8810145279946425641,1
2557544565676711160,1
7999804494517330141,1
9947665738712650436,1
2923157586809674604,1
2084416927014276438,1
884821390104728104,1
2163555648381499404,1
2818796658906330904,1
1790630358090197146,1
6605741812021030281,1
2729326042885052223,1
6171698148494823293,1
8923902094377758912,1
5097087346105463693,1
6483542972874741074,1
1575299870459163170,1
6075418837768242958,1
4462569127423521108,1
983622469844382741,1
7213484590531142958,1
3053164528707250163,1
3784608915391176306,1
9431575744211678902,1
339334311045885434,1
9363207205094761073,1
9484234336257707179,1
9014580000597240539,1
3550517741801560701,1
6125563692107396483,1
1383687428379664179,1
644407009401848542,1
5807278314451544984,1
6361412319872992079,1
6560066529199965530,1
1842106171508051051,1
403789659645595849,1
2122547835443026286,1
7454160401328902482,1
9541996968314639199,1
616813475440297008,1
5980795059692822710,1
6397329721784535287,1
0312226371899637611,1
0142116411233847758,1
4377378313866337368,1
2396255136764683002,1
1501922563642798112,1
7211075105637086382,1
6775926571390989746,1
7238649130733042064,1
9263852900501117129,1
606735064258270722,1
1452613891025216774,1
2367296881084974931,1
4613547766859466698,1
5402622110310553851,1
5006795078292798707,1
8478498564954638951,1
344338099914658416,1
854434256389492978,1
2533769468325451038,1
2348681849763325965,1
8579647481420425960,1
1999942187402858600,1
6448510043360208590,1
2377126524987232945,1
96843987855909025,1
3538189268879245816,1
5481081028229796179,1
302704045753662604,1
5369128368163820088,1
1063109698143249629,1
2888994662401288163,1
446821635919209531,1
4073209630928256180,1
3027900979672030556,1
3012297793847553299,1
2779594039917451826,1
6997260560132631354,1
7285581814755922222,1
2979158334748499173,1
8718769444040470230,1
9973665079624172058,1
6026865008041115729,1
4602383891226401804,1
9711893424833628957,1
6752104622110349075,1
7771380615067157220,1
8421245050853915723,1
2287406421504796570,1
3092487309701391768,1
2249724102559347990,1
8375075536798804409,1
8308144532481482080,1
5248418277725722133,1
8657427332734176422,1
7701571111733834937,1
4410953563194536742,1
1761084588077503545,1
4807930160918189094,1
4883249725302903151,1
0780253600713375371,1
9613834008182881588,1
