clientId,predicted_label,label,Record Count
291097780.1563211457,1,1,2
985942991.1559428705,0,0,2
980162375.1547207925,0,0,2
205315987.1545572659,1,1,2
321600724.1554043877,1,1,2
249496561.1547492356,1,0,2
797764332.1560960775,1,1,2
814521939.1052238448,0,0,2
877413914.1557569530,0,0,2
176912909.1567879190,0,0,2
805684778.1566971979,0,0,2
612101495.1554875958,0,0,2
531536370.1546621157,1,1,2
935345519.1550639479,0,0,2
773066584.1563214592,0,0,2
580618513.1562176677,0,0,2
921307818.1547385983,1,1,2
1633779329.1205430363,1,1,2
476691919.1562682524,1,1,2
248801753.1556393612,1,0,2
224725322.1556047783,0,0,2
419041182.1552913952,0,0,2
937814425.1566303035,0,0,2
259838619.1558720892,0,0,2
738315549.1567424627,0,0,2
683266761.1546616709,1,1,2
602100223.1548292082,0,0,2
382694857.1563294971,0,0,2
737791780.1550041143,0,0,2
823503430.1552145789,1,1,2
934454271.1557088065,1,1,2
658403283.1542830775,1,1,2
937274216.1549662241,1,1,2
996145572.1555420517,1,1,2
616224295.1569520773,0,0,2
143512012.1546454815,0,0,2
538823154.1555156733,1,0,2
350865857.1566391067,0,0,2
125515275.1554119084,0,0,2
164862734.1552407413,1,1,2
628180514.1559383618,1,1,2
645554105.1552459550,1,0,2
561906557.1555783087,1,0,2
355715790.1554033476,0,0,2
848208157.1548964968,0,0,2
376970938.1567426266,1,1,2
663873095.1547643557,0,0,2
774367509.1565375656,0,0,2
742594030.1551624876,1,1,2
988518883.1558520498,1,1,2
327000551.1549396096,0,0,2
596663484.1559081623,1,1,2
359858515.1551955094,0,0,2
666084076.1565780318,1,0,2
400521758.1531599154,1,1,2
108425612.1547384237,1,0,2
316034617.1556712288,1,1,2
398185664.1566838956,0,0,2
141062823.1544194507,0,0,2
448209517.1548378761,1,1,2
480099383.1551790726,0,0,2
945889771.1532205292,1,1,2
870905874.1524075212,0,0,2
243467538.1547549957,1,0,2
335309885.1555514986,1,1,2
852666372.1538113601,1,1,2
749429641.1565261994,0,0,2
303936831.1569409093,0,0,2
318432849.1530030277,0,0,2
288766103.1561478190,0,0,2
522588334.1560865593,1,1,2
244055813.1554811169,0,0,2
910972157.1561453116,0,0,2
604024923.1516441003,1,1,2
